customer_id,customer_name,customer_email
1,Olivia Bennett,olivia.bennett@example.com
2,Liam Johnson,liam.johnson@example.com
3,Emma Carter,emma.carter@example.com
4,Noah Smith,noah.smith@example.com
5,Ava Martinez,ava.martinez@example.com
6,William Davis,william.davis@example.com
7,Sophia Garcia,sophia.garcia@example.com
8,James Wilson,james.wilson@example.com
9,Isabella Anderson,isabella.anderson@example.com
10,Benjamin Thomas,benjamin.thomas@example.com
11,Mia Robinson,mia.robinson@example.com
12,Lucas Clark,lucas.clark@example.com
